whole_path,taxid,name_clean,command
 PorbacNLAEzlC104_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1855399,PorbacNLAEzlC104,"seqfu cat --append ""|kraken:taxid|1855399""  PorbacNLAEzlC104_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PorbacNLAEzlC104.fasta"
 PrebreP6B11_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410666,PrebreP6B11,"seqfu cat --append ""|kraken:taxid|1410666""  PrebreP6B11_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrebreP6B11.fasta"
 PrebryC21a_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1280705,PrebryC21a,"seqfu cat --append ""|kraken:taxid|1280705""  PrebryC21a_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrebryC21a.fasta"
 PrebryFB3001_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,77095,PrebryFB3001,"seqfu cat --append ""|kraken:taxid|77095""  PrebryFB3001_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrebryFB3001.fasta"
 PrebryKHPX14_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,77095,PrebryKHPX14,"seqfu cat --append ""|kraken:taxid|77095""  PrebryKHPX14_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrebryKHPX14.fasta"
 PrebacHUN156_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520830,PrebacHUN156,"seqfu cat --append ""|kraken:taxid|1520830""  PrebacHUN156_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PrebacHUN156.fasta"
 PrebacKH2P17_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1945886,PrebacKH2P17,"seqfu cat --append ""|kraken:taxid|1945886""  PrebacKH2P17_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrebacKH2P17.fasta"
 PrebacMN60_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1945887,PrebacMN60,"seqfu cat --append ""|kraken:taxid|1945887""  PrebacMN60_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrebacMN60.fasta"
 PrerumAR32_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,839,PrerumAR32,"seqfu cat --append ""|kraken:taxid|839""  PrerumAR32_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrerumAR32.fasta"
 PrerumBPI34_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,839,PrerumBPI34,"seqfu cat --append ""|kraken:taxid|839""  PrerumBPI34_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrerumBPI34.fasta"
